Username,Address,Rating,Comment
Hung Nguyen,Lake of the Restored Sword,1,"Bất Động Sản Hùng Nga Bắc An Phụ chuyên môi giới, ký gửi và tư vấn mua bán nhà đất khu vực Ninh Xá – Bắc An Phụ"
Sela Story,Lake of the Restored Sword,1,"Mình bị lừa bởi người chụp quanh dạo quanh bờ hồ  làm ảnh hưởng đến tâm trạng du lịch của mình luôn. Gây ảnh hưởng xấu về thủ đô. Mong là không ai giống mình làm chuyến du lịch mất hẳn vui. Bảo chụp ảnh 10k, đến khi tính tiền thì một bức 10k . Do mình ng nơi khác đến nên không muốn cãi nhau nên đành trả tiền"
An Nguyen Thi Thanh,Lake of the Restored Sword,1,Toàn bắc kỳ! Ăn nói cư xử vô lễ
Thanh Ngọc,Lake of the Restored Sword,1,Lần đầu đến Hn .vừa xuống sân bay có điều gì đó kỳ lạ là chỉ duy nhất 1 chuyến máy bay của mình đáp xuống nhìn xung quanh không có người tấp nập như những tp khác .mua trái cây ở hồ hoàn kiếm cẩn thận không thì bị chặc chém .nhân viên ở Hn không vui vẻ nhiệt tình .nói chuyện chỏng chỏng .ồn ào nói chuyện quá điếc.mùi thuốc Lào bay khắp nơi mặt dù mình ngồi bàn bên cạnh vẫn không chịu nổi .hôm nay ăn tô phở 50k ngày mai đến ăn tiếp 60k .nghe nói giọng sg thì chém đẹp.quá sợ Hn hèn gì không có ai đi.lần đầu như lần cuối
Ngọc Hân,Lake of the Restored Sword,1,"Mọi thứ đều ok cho tới khi mua nửa trái xoài với 1 củ đậu bé tẹo:) 100k :)
Người việt với việt còn sống vậy. Mà công an hay an ninh vẫn cho bán nhề 🥲 …"
Đạt Trần,Lake of the Restored Sword,1,"Đông đúc, bẩn thỉu và chộp giật. Người miền nam đến mua hàng nên hỏi kỹ giá cả.

Khuyến cáo mọi người tuyệt đối không được uống nước của mấy bà bán hàng trà đá vỉa hồ. Nước của họ được lấy từ các nhà vệ sinh công cộng gần đó để bán cho khách."
Dương Nguyễn,Lake of the Restored Sword,1,gần nên k giúp đỡ
Tien Bao,Lake of the Restored Sword,1,"Hôm nọ mình cùng bé nhà mình đi dạo qua phố này. Vì là trẻ con (7 tuổi) nên có sờ xem đồ của bà bán rong, ( bé chỉ sờ thôi chứ k làm hỏng hóc gì cả) nhưng bé k ưng nên mình cho bé đi. Vậy mà bà quay sang nạt, chửi bé xem đồ không mua. Mình nghĩ nên quản lý tốt hơn khu bán hàng rong như này, tránh khách du lịch đế 1 lần rồi chạy mấy dép."
duykhoa duykhoa,Lake of the Restored Sword,1,Một địa điểm lý tưởng để thẩm những món Hải sản nhập ngoại và hải sản địa phương.cùng thưởng thức hiệu ứng âm thanh ánh sáng và chương trình nhạc nước.
loc nguyen,Lake of the Restored Sword,1,"Hồ Gươm rất đẹp có màu sắc độc đáo hơn nữa Còn có Phố cổ cho người đi bộ, nơi rất nhiều bạn trẻ tuổi yêu thích và ngắm phong cảnh mỗi khi tôi dan bui long buồn Đi lên hồ gươm dạo chơi hóng gió mát mẻ nhiều Cây xanh và cả không khí"
