Username,Address,Rating,Comment
Sparkleythings,An Bang Beach,1,"Grubby, grotty covered in rubbish. What a tragedy for what was once a beautiful pristine beach."
Beate K,An Bang Beach,1,"We were on 18.11.2025 at An Bang Beach. Unfortunately, the beach is not a pretty sight after the storms, everything is full of garbage. The water is very brown and there is plenty of wood and garbage floating in the water. The beach bars are in the process of being cleaned up."
Claire C,An Bang Beach,1,"Filthy beach, I really don’t get all the glowing reviews. Not sure if these people are blind or have never been to a beautiful beach before. Rubbish everywhere, very run down - reminds me of Bali. Seems to be popular with backpackers and Russians. Dont bother!"
Marta L,An Bang Beach,1,"We went as a family in December 2024. It is one of the most dirty beaches I have ever seen. Absolutely unpleasant to walk along the beach.  It is shocking , the beach is full polyester and plastic . I do not recommend to spend a beach stay here."
Martina S,An Bang Beach,1,"Due to the typhoon many beach bars have unfortunately been severely damaged and many things have not yet been repaired. Unfortunately, the beach is more like a dump than a dream beach. One can only hope that everything is cleaned again. Right now, you have to advise against visiting."
Susanne G,An Bang Beach,1,"The beach is catastrophically littered. Why doesn't anybody put the plastic stuff away? In addition, you can not walk continuously at the sea at high tide. Due to increasing erosion, the beach is getting narrower and narrower. Everywhere you have to pay: for toilet and bicycle parking. And you are constantly approached by sellers."
Giulia M,An Bang Beach,1,"I don't understand why both Lonely Planet and any website and various reviews list it as this great paradise. It's super touristy, all overpriced, hyper crowded. It is a large beach with a succession of restaurants, bars, with umbrellas and chairs literally attached to each other (LITERALLY), as soon as you arrive everyone falls on you trying to sell your place on the beach, if you consume you do not have to pay, mediocre food format tourists, otherwise they ask you random figures (who 200,000, who 150,000, you can bargain for 100,000), they ask you for money to park even the bicycle, and complete with a sign with price list, where for the bike are indicated 2,000 dongs, they still ask you for 5,000. In short, everything is a half scam to take money.You can safely park in the alleys first, and go to the beach without using umbrellas. But above all: you can NOT go there and opt for Cua Dai, much more beautiful, natural and crowd-free"
Jade L,An Bang Beach,1,"Cyclists- BEWARE aggressive, threatening and rude people forcibly trying to make you stop and park before you get to the beach so they can scam you into paying for bicycle parking!! It seems there are multiple liars targeting people from the west and/or anyone on bikes who can't tell them to get lost in Vietnamese.The picture of the street is where you should start being alert for these con artists.In particular there is a man who will run out from Restaurant Phuong Uyen (not seen but to the right of the tree in the picture showing the store front with the writing in blue and red) as soon as he sees you approaching to say you can't cycle further down or park. He forced us off the road and literally pulled my bike away to park it before we could do much. We didn't really believe him, but walked on and then read about these tricksters when we checked online. Alas too late, but hopefully this will save some of you.Since it's only VND10k most people said they paid we thought that was fine to let go. However, the behaviour is so not necessary, malicious and mean and the main reason for this review.That guy from that restaurant will get in your face and demand money as soon as he sees you get back. He literally ran over as soon as he saw us at the bikes again and was screaming for money. He tried to block me in to prevent me even being able to manoeuvre out. So he's not a nice man to target a woman specifically and shout at me to give him money. I wanted to give him a piece of my mind, but my husband was mindful this guy was so aggressive he told the guy to just wait and let me pass or he wouldn't give him anything. Honestly with some reflection we should have got the police on him. It's clear he does this to many people and it's intimidation and malicious. Although not sure what use the tourist police are.Do not pay more than VND10k if you're checking this after having been tricked! You can park your bike for free in the streets it seems or at a restaurant if you're planning to eat there, if you haven't been lied to yet and are just looking up the beach.If your hotel has a shuttle bus service use that!On to the beach area- it's alright. There's signs saying no swimming in places but people were in the water. At your own risk! The sea looked a bit rough but not massive waves that will knock you down. You can do surfing and parasailing here. Sea is not clear. Beach could be cleaner.It's basically a resort town full of foreigners. Dining options along the shore. If you want a lounger/beach chairs they have those too and will serve you where you sit. There are ladies who will try to get you to come to their restaurant as soon as you walk down the steps and I think one tried to get these tourists to follow her even tho another one was trying to lead them in the opposite direction. A firm no is fine. They won't bother you more. Unlike that sorry excuse for a man making money as a bicycle parking attendant, they take no for an answer."
d f,An Bang Beach,1,"Be aware that although the signs clearly say 4k for motorbike parking the old hag will insist you pay 20k (if you are white) the other man agreed to 5k before the woman ran over and snatched our ticket and told us to leave. Basically, she insists you either pay 5x the amount on the sign or you have to leave. Aside from this the beach is very nice, just don’t give in to racially based scamming. Better to Park across the street by a restaurant instead and spend your money on a drink inside"
Eamon G,An Bang Beach,1,"Absolutely disgusting! And that's putting it mildly. Seriously the whole beach no matter which direction you walk in is littered with every kind of rubbish imaginable. Inclusive of a dead dog ! I kid you not. Seeing the state of this beach made me realise just how spoilt Australia is for beaches. Whilst having a lovely coffee and incredible croissant earlier on at  Thom's Sourdough Bakery, I overheard an American young couple who presumably have been living in the area for sometime. I heard them mention to the owner that they were going to head to the beach later on and do some rubbish collection. After seeing the beach I admire their selfless volunteering.But it's really the people of Hoi An and An Bang along with the authorities who should really be stepping up and come up with a plan to seriously turn things around. I would not be swimming or walking barefoot on this beach until some serious efforts are made, and I don't see things improving any time soon or quickly. It truly is a shame as they could have something special. Sadly It's a lonnnnnnnggggg way off being anywhere near that."
