Username,Address,Rating,Comment
Allan A,Ben Thanh Market,5,Ben Thanh Market is ideally located in Central Saigon. It is a must visit in any trip to Saigon. It is large and has merchandise of all kinds. It attracts crowds of people daily. The prices hate can always be battered down.
Dixiegals,Ben Thanh Market,5,Excellent shopping experience. Although the entrances post fixed prices not true. Start at 20% and settle for a 1/3 and never higher than 1/2 if no time to bargain. Lots to see.
Ho Chi Minh...,Ben Thanh Market,5,The biggest and busiest market I have been to. They love to bata here. Best place I like to go for smoothies.  Across the back side of the market is the best place for money exchange.
grant,Ben Thanh Market,5,Great place to visit with the family. Even my 12 year old got into the groove of bartering.  Came away with some really cool knock off merch. I don’t know why you’d come HCMC and not visit here. Be brave and don’t be afraid to walk away!
John C,Ben Thanh Market,5,"actual visit was August 2024, but only just got round to reviewing it  This was the first place we actually visited on our trip to Ho Chi Minh, it was absolutely pouring down outside with rain bouncing off the street so it was great to be dry, and WHAT an experience it was, a bit of haggling here and there, some interesting purchases, but more importantly was the feel of the place, it had its own atmosphere, I can imagine a shy couple might be overwhelmed but we a family of four adults loved the bustle of the place, we ate on plastic stools with bowls / plates of pho resting on upturned plastic crates and the food was great. We actually went back again twice more, once to see other areas of the market which is huge we never covered the first time and once to buy umbrellas in the no haggle zone. It felt very safe and quite friendly."
Amod,Ben Thanh Market,5,"It's perhaps the biggest bargain shopping market. This was exactly 7 mins. walk from our hotel - Fusion Original Saigon Centre.  Here you mainly get fabric for ladies to stitch clothes (you can just buy the fabric as well), First copy of a lot of items from clothes, shoes and watches. You get a variety of tea and coffee produced locally. And of course, loads of dry food stuff which you can carry home. And souvenirs too!  The key to shop here is not to fall for the merchandise in the very first shop. One must move around, check out the merchandise and then stop to bargain and buy. A word of caution on the bargain front. While we should bargain hard, but if we think the shop owners will listen to any ridiculous offer we make, think twice. I had an experience wherein one shop owner asked the person to get lost as he was asking her for a ridiculously high discount. In another case when I gave a price for T shirts I had to buy, the shop owner said, ""Thank you"" and started taking back her merchandise. That's a cue that you have asked for a bit too much. Only if you feel your monies worth for the thing you are buying, go for it else jump to the next shop."
Amerigo Poo,Ben Thanh Market,5,A souvenir-filled market where bargaining is a must—some vendors ask sky-high prices! You’ll also find spots to grab a bite.
russell h,Ben Thanh Market,5,"Visited a few times and market is a maze of stores, but for western women who are not a size 8-10 The choices are limited for jeans and a lot of clothing. Pricing for some items were cheaper than Hanoi markets but it pays to barter and be prepared to walk away. In general paid aprox 50% of asking price and some times less."
Mohamed zainal,Ben Thanh Market,5,"Very nice place to visit has variety of goods, very clean and people are so friendly and welcoming, the price are so affordable"
browncondo2102,Ben Thanh Market,5,"This was a great market which was one of Saigons surviving structures. If it's made, it's probably here. Be sure to barter for your purchases. Fish, meat, wattches, jewellery and lots of clothese can be found here. There is also a Lacquer Factory near by where you can watch the work of artisans as they create beautiful items which you can buy."
Anna Brug,Ben Thanh Market,5,Bến Thành Market is also a fantastic destination to indulge in Ho Chi Minh city’s distinctive cuisine. Notable and popular dishes can easily be found in the market to savour. We dedicate a separate article for the list of must-try food in Ben Thanh market area for you to explore.
Martin J,Ben Thanh Market,5,"Obrovská tržnice, ve které se můžete i ztratit, poskytuje veškeré zboží, jež byste si přáli. Můžete se zde kvalitně a levně najíst či si koupit oblečení od největších módních domů."
Wander34858464342,Ben Thanh Market,5,"The market itself is a humid environment with occasional aggressive vendors pulling you or blocking your way, trying to coerce you into buying something. I went twice, once in the morning and another in the late afternoon. It seems they get more aggressive as the hour pass. If you think the price here is too expensive as compared to Saigon Square, you need to work on your bargaining. There is no way an A/C environment can sell lower than this market. Also beware of the the Shoe shine/repair scam taking place across the streets. Seen so many people falling for it. There's another gang of them over at Saigon Square.  This guy (attached photo) is probably the most honest guy within the market. I went around comparing prices also with Saigon Square. He wasn’t upset when I came back to him and bargain further. Some others would ignore you if you walk away and return later.  When I reached my hotel, I noticed a slight defect and went back asking for a change. He took the trouble to walk to another place, took out all the colours and size for me to choose again. That is even after I have removed the tag on the defective piece.  The 5 stars is solely for this man making an honest living with dignity."
Samson1971,Ben Thanh Market,5,"Amazing old style market, vibrant and colorful. From nuts, coffee, souvenirs to clothing, mobile and electronics you can find everything here. Be ready to haggle on the prices as they quote you at least 5 times the actual price…We bot some fridge magnets, chop sticks etc just small souvenirs nothing expensive…"
Jolyn S,Ben Thanh Market,5,A fascinating market where you can discover plenty of items at fantastic prices—perfect for scoring a great deal. 😁😁😁
patric a,Ben Thanh Market,5,"Här kan du pruta ner från 1,900,000 till ca 400,00-500,000. Mycket att se och bra kvalitet på väskor och liknande. Trevlig marknad."
Yardley Gees,Ben Thanh Market,5,"It's a bustling maze packed with everything you can imagine, from souvenirs to local food. You definitely need to be ready to bargain with a smile! We enjoyed the energetic atmosphere and left with a few good finds. A classic Ho Chi Minh City experience."
SUZUKI,Ben Thanh Market,5,"Nice place and to much food you can see and buy anything here, but if you want to buy gift here maybe no.Because to expensive ,but I love this place."
Emily M,Ben Thanh Market,5,Night views of hoi chi minh city were amazing . My guide sun was very attentive and very knowledgeable about Vietnamese history. I particularly liked the views around the river. And trying Vietnamese dishes .which were ok but that's my personal taste. I would recommend tour . If you get sun as your driver you will be happy.
Norumi,Ben Thanh Market,5,I don't rate the price high when paying here when shopping but the space and the typical clock symbol of the market impressed me.
Wendy V,Ben Thanh Market,5,"Wow You have so many choices, there is something for everyone, bags, shoes, socks, undies, t-shirt’s, souvenirs ++ great quality, yes you can barter, we had great food and juices there, happy shopping 🛍️"
AMsays,Ben Thanh Market,5,"Busy, beehive of activity where anything and everything is available for a price. Yes, it is dirty and congested but its colourful too, with endearing sights, lingering smells and buzzing sounds. Haggle away – you’re expected to. But, please be aware that as you go further into the market, prices, products and selection changes, sometimes in your favour, other times not."
Sunshine24429925146,Ben Thanh Market,5,"Lots of shops to shop souvenir, tee, bags, food court. Hard bargain like 50-70% less than asking price. Shop no 938 and 964 shops were good, did lot of shopping. Emy the young owner is cool n gives good bargains on items in shop."
Gopi,Ben Thanh Market,5,"Ben Thanh Market in Saigon is a vibrant and bustling hub of local culture, offering a wide variety of goods, from fresh produce and spices to clothing and souvenirs. The market's lively atmosphere and colorful displays make it a must-visit for tourists. While it can be crowded and prices may be higher for tourists, bargaining is part of the experience. Its central location makes it convenient to explore, and the surrounding area offers plenty of street food options to enhance your visit. Overall, Ben Thanh Market provides an authentic taste of Saigon's vibrant street culture."
Ameerah A,Ben Thanh Market,5,"It's a good place for shopping, the prices though are not Vietnam prices but for tourists it's ok . The food there is cheap and authentic."
Safari20928859586,Ben Thanh Market,5,"Chợ Bến Thành là điểm đến không thể bỏ qua ở Sài Gòn! Nơi đây có đa dạng hàng hóa từ quà lưu niệm, quần áo đến ẩm thực đặc trưng. Giá cả có thể hơi cao, nên nhớ trả giá khi mua sắm. Không khí sôi động, đậm chất văn hóa Việt Nam."
Anggita Deska,Ben Thanh Market,5,"Great place to buy some souvenirs, like keychain, cloth, magnet, coffee etc, but you need to bargain. Large enough, you need to check every alley. Prefer bring cash."
Con M,Ben Thanh Market,5,We adored the bustling frenzy! SO MUCH SHOPPING! SAW LOCAL CRAFTS and delicious feasts A tad too much information but so so good. Haggle hard! Fun for us!!!
martin,Ben Thanh Market,5,Great market for food clothes bags etc. Bartering with locals is great fun they love it as much as I did. All the goods are really good copies and I am still wearing clothes from last time I was there in 2019. The food is also tasty and cheap.
Giuseppe,Ben Thanh Market,5,Cena Vietnamitq eccellente piatti delicati e gustosi personale gentile ed educato prezzo economico ci torneremo presto
Robert Lam,Ben Thanh Market,5,"Visited in December 2024 for the 100th time (not bad for a 'Norwegian', right?). This mega market has everything under one roof, all proudly stamped with ""Made in Vietnam,"" including local delicacies.  Pro Tips: Haggling Skills Required: Prices start high, like double what you should pay. So, channel your inner negotiator!  Why You Should Visit: It's HUGE! You could get lost (in a good way). Feel the vibrant Saigon vibe. Perfect for souvenirs and a taste of local food.  Why You Might Want to Skip: It's crowded. Like, really crowded. Bargaining with aggressive sellers can be intense. Fake goods galore. Beware!"
Navigator35430220447,Ben Thanh Market,5,"Ignore the snobby a$$ reviews below. If you are ready for a haggle, to play the game of hunting for that perfect knock off or just want to immerse yourself in some crazy then this is the place to go. It's south east Asia. It's a market place. Wtf else is it going to be like other than hot, crowded and really loud. We love this place and have been here so many times. Come prepared to giggle at the ridiculous prices they start off with and walk away with some epic bargains. Side note... There is a shoe vendor on the far right wall (when entering from the clock tower) and their shoes are legit!! Paid $35 Australian for Nike's and New Balance and the QR codes all link. Even took a pair of Nike's in to be repaired when back in Aus and they didn't question it. They will go above and beyond for you.  Have fun bartering 😊"
Muhammad B,Ben Thanh Market,5,"Don’t be put off by fixed price, everything is negotiable. If you push mildly, you’ll get it for a third of their opening offer. All the top brands on offer. Bags and sports apparel the most available."
Kiệt,Ben Thanh Market,5,"Chợ nằm ở Thành phố Hồ Chí Minh, rất rộng và bán rất nhiều đồ, đã đi một lần nhưng vẫn chưa đi hết chợ, sẽ còn ghé lại lần sau...."
Jorens L,Ben Thanh Market,5,"This market is a tourist magnet, for those who love to snag deals for your loves at home. The dry goods were quite a snag, save for those who like dresses and suits. The dried fruits, nuts and snacks were perfect for those who want to sample local nibbles. The food isle was busiest during lunch rush so better be quick to grab a seat to sample good food."
Marie Dubois,Ben Thanh Market,5,"Les odeurs des épices et la variété des plats locaux nous ont enchantés. Les vendeurs sont un peu insistants, mais c'est le charme des marchés vietnamiens. Les prix sont négociables, et nous avons trouvé de superbes souvenirs."
Blondell C,Ben Thanh Market,5,"Entre les étals colorés et l'art du marchandage, nous nous sommes bien amusés. Les odeurs d'épices et l'ambiance animée nous ont conquis. Astuce : venez l'estomac vide, le food court est une vraie tentation !"
Ryun,Ben Thanh Market,5,"The atmosphere was electric with vendors selling everything from local handicrafts to Vietnamese coffee. Bargaining is a must, and we had fun negotiating prices. The food court offered authentic local dishes at reasonable prices. A bit crowded but that's part of the authentic experience!"
Nancee,Ben Thanh Market,5,We turned shopping at Ben Thanh into our favorite sport! Bargaining became our love language as we navigated through aromatic spices and colorful textiles. The food court saved our marriage during hangry moments.  Don't forget to practice your negotiation face in the mirror! :))))
Llewellyn53,Ben Thanh Market,5,"Be prepared to be constantly asked what you are looking for. I have no doubt that the stall holders will either have what you are looking for or they will get it for you. I had forgotten just how busy it is. Well worth a visit - all sorts of jewellery, footwear, shorts, shirts, hats belts wallets caps cards food sunglasses etc etc Allow plenty of time and remember they are just trying to help you"
Debopama B,Ben Thanh Market,5,"Ben Thanh Market is the best market for tourists, as they sell various kinds of souvenirs and gifts. You will get almost everything, from food to clothes, footwear, bags, ceramics, and souvenirs in the market. However, hone your bargaining skill before you go. Opt for hotels near this market, so that you can walk to and from it. Also visit the China Market for products at wholesale rates."
Avya,Ben Thanh Market,5,"The market's energy was infectious, with countless stalls offering everything from local crafts to aromatic spices. We navigated the lively aisles, enjoying the thrill of bargaining and discovering unique souvenirs. It's a must-visit for families wanting to experience the dynamic spirit of Saigon's marketplace."
Dilip M,Ben Thanh Market,5,Good fun. Enjoyed visiting Viets Market assisted by the owner family young man TRUONG TRAN. Good knowledge of coffees.
Rak,Ben Thanh Market,5,"Enjoy the experience of visiting a market place where haggling and negotiating lower prices is a must for everything you buy.  Many items to purchase such as t-shirts, bags, display items and wallets etc.  Go there and just experience the place, many of the stalls will sell the same items."
Umberto,Ben Thanh Market,5,"인기 만점의 이 시장에 들어서자마자 우리의 지갑이 공포에 떨기 시작했죠. 왜냐고요? 너무나 많은 유혹이 있었거든요! 향신료 냄새에 정신이 혼미해지고, 값싼 '명품' 가방들에 눈이 휘둥그레졌어요. 흥정하다 보니 어느새 베트남어 전문가가 된 것 같았답니다. 우리 신용카드가 울면서 도망가려고 했지만, 우리는 용감하게(?) 쇼핑을 계속했어요."
Bear,Ben Thanh Market,5,"이 역사적인 시장은 호치민의 심장부에서 활기차게 뛰고 있어요. 우리는 이국적인 향신료, 화려한 직물, 신선한 과일의 향연 속에 푹 빠졌답니다. 상인들과 흥정하는 재미도 있었고, 현지 음식을 맛보는 것도 잊지 못할 경험이었어요. 시장 곳곳에서 베트남의 역사와 문화를 느낄 수 있었죠. 관광객과 현지인들로 북적이는 이곳은 호치민의 진정한 모습을 보여주는 곳이에요."
Jeff W,Ben Thanh Market,5,This market has everything but you must be able to negotiate. Offering vendors 40-50% of the asking price is a good place to start.
Joanne Mary S,Ben Thanh Market,5,"Excellent shopping experience, I recommend that you have a look around the stalls where they are marked as fixed price to get an idea of what you ought to be paying for clothing first. I bought several outfits there, and the prices really are fixed. After that, I gained in confidence and entered into the market itself where, one can negotiate. My objective was to try and get a similar outfit for a cheaper price and I achieved that happily and easily. The trick really is to not mind if you end up having to walk away. We enjoyed it so much that we went back the following day and I bought a couple of of the same outfits in different colours, as an example I got some trousers and a wraparound top for, the equivalent of about £6 or €7. I visited a fabric store and chose some Vietnamese silk. the lady took my details and my measurements and photograph of the outfit I wanted replicating. It was a complicated ladies top and the price for having it made in 70% silk and then delivered to my hotel room. Some five hours later was approximately €28. The quantity is incredible I am delighted."
Charmaine,Ben Thanh Market,5,"Big market, selling all kinds of items. Prices are reasonable for many items but need to bargain a lot to buy things. :))))))"
ellen m,Ben Thanh Market,5,"Leuke markt. Waar je echt van alles kan kopen, kleding, koffie noodle soup voor redelijke prijs en de mensen dringen zich niet zo aan je op."
Rechkemmer,Ben Thanh Market,5,"Prepare for a full-on sensory experience! This bustling market is a must-see in Ho Chi Minh City. We were amazed by the sheer diversity of goods - from souvenirs and clothing to fresh produce and street food. It's crowded and busy, but a fascinating glimpse into local life. Come with a plan and be ready to haggle!"
agapelove2407,Ben Thanh Market,5,This place is really a shoppers paradise. It has all the a graded bags hats wallet jewellery clothes . Coffee . Tea. Accessories. All you want u can get there. One thing to take note. Do not accept the first price you are quoted for. Have to go down by more than 50% . You can start with 30% of the offer price . Then slowly up . This us a perfect place to shop. Most of things can nego except jewellery at shop outside. which is authentic so no room to negotiable.
Thien T,Ben Thanh Market,5,I really enjoyed walking through this market. It’s definitely more of the same with the vendors trying their best to entice you to buy anything. The market is also quite well organized with the walkways quite wide and very easy to navigate. The fresh produce section on the one side is definitely not for the squeamish. Avoid if you are so inclined. The market is under roof but no AC only a few fans doing their best.
John H,Ben Thanh Market,5,"always a must ti see in Saigon. And soem great people...expensive by Vietnamese standards but you can bargain. Also some small, snazzy cheap street food stalls that are excellent value. Most people speak English so ok. Smiles everywhere"
Marilyn T,Ben Thanh Market,5,The market has the same products and several of the stores work with each other. If one store doesn’t have the size or color or style you want they’ll get it from another vendor. The aisles are small and it’s extremely hot. No a/c but a few fans. The sellers offer you a seat The end of the market has food. If squeamish don’t go there. The fake goods are good quality especially the soccer outfits Dresses / shirts can be made in a day. Bargain less than 50% of the quoted price.
Van Phong,Ben Thanh Market,5,"Big and old market in HCM. Nowadays it becomes a tourist attraction and popular to almost checkers. There’re lot of goods such as clothes, slippers, shoes, fruit jams, vegetables…all needed items for locals’s daily lives. The price is reasonable not too expensive but some of those are fake or copied ones other brands"
Thanh Huynh,Ben Thanh Market,5,"Ngồi chợ lịch sử của Sài Gòn. Rất đông du khách, hiện tại vô mùa tết nên mọi người lại chụp ảnh áo dài rất nhiều, làm không khí ở đây náo nhiệt nha."
Zoe N,Ben Thanh Market,5,"Wow! Fantastic and chaotic all in one! The market can be a bit overwhelming on your own with people frantically trying to attract your attention, but the prices are great and the quality was good. The stall holders were very friendly and whilst haggling is expected some prices were so reasonable I didn't feel the need! So far everything I bought has lasted well and I would happily return."
