Username,Address,Rating,Comment
Faith,Temple Of Literature,1,"not impressive at all. almost everything was poorly conserved. the third picture is the stelae of doctors, which is supposed to have inscriptions, but no efforts have been made to restore it at all so the most visible words that i could see are in the fourth image.  the exhibits were really repetitive as well. exact phrases and pieces of information were just reiterated on panels that were right next to one another again and again.  i spent about 40 minutes here. it’s not worth the entrance fee. i don’t get why the reviews of this place is so great."
Learn Thai with Shelby,Temple Of Literature,1,"There is nothing special here. It’s not even worth the 70k entrance fee. There are only people taking photos, and they’re very noisy, especially women in their 50s wearing transitional dresses. Card payments are not accepted."
Dương Nguyễn Hải,Temple Of Literature,1,Parking lot intentionally not scanning the sender's card. Parking lot is cashless but collects money or transfers separately. Takes more money from the sender
Thuy Duong Vu,Temple Of Literature,1,"Security guard closes early, ok because I was 15 minutes late, accepted to take the car home, but early in the morning they charged 50k for parking. Everyone pay attention to the entry and exit times."
JL Forty,Temple Of Literature,1,Items in the souvenir shop are fake. We were told by the staff it was buffalo horn combs ect. Only to realise when we got home they are plastic. Just another scam in Vietnam at an official level. Terrible for the countries reputation. It's the consistent small things that build up over time.
Yuki Hoshishiro,Temple Of Literature,1,"So many locals taking pictures here and they lowkey annoying, im not even kidding- like they’re everywhere. I dont complain ppl taking pictures with their aoi dai but they block every way, entrance, and holding up people."
HUONG LE,Temple Of Literature,1,"I had a bad experience buying tickets with an unfriendly and bad-attitude ticket seller. Two Western customers who bought tickets before me got their change back, but if they hadn't counted it, she probably wouldn't have paid the extra 100k. She's so dishonest. I think this ticket seller needs to be replaced before she spreads a lot of bad impressions."
Doan Ngoc Uyen Trang,Temple Of Literature,1,"The older ticket seller (on the right) was extremely rude to young customers, and most of the staff here are like that =))) I put my ID card on the counter and bent down to stuff money into my pocket because the zipper was stuck. When I looked up, they said, ""Where's your mouth? Can't you say anything? Why are you just handing it over like that?""  I was in a hurry and either dropped or forgot to take the ticket with the QR code. When I went back to ask, they said, ""There are no tickets here."" My family had to stand and talk for over 3-4 minutes before we got another ticket. When we tried to swipe it, they wouldn't accept the second printed ticket =))))))) I didn't want to argue with the ""superior"" staff, so I just left with the money and ticket."
H. Neubert,Temple Of Literature,1,"TL;dr: Poor management. Terrible attitude. Racist ticketing and entry staff. No information given.When they say Exit only, they mean it, even if you need guidance on how to experience the park that wasn’t given at the counter.  When you enter, don’t expect explanations. The ticket seller didn’t explain anything nor did she smile, and the entrance staff didn’t speak any foreign language. I expressed I had questions and was told with a translator app that I needed to exit through the entrance and rejoin the line, but unsure if it was necessary, I went in without waiting for a second time. I found a great app audioguide (highly recommended, but bring your earplugs or you will hold your phone for 30+ min!).  Later, I went back to check if guides were available, as everyone else had them. My arm hurt, I was curious if this was the only option. Also, we saw people with guides (people who spoke both english and spanish language) who had a great experience. So we wanted to know the options and decide together. Information only at the entrance. So back to the front we went.  They wouldn’t let us both exit, even though there was no reason to block us. Walk all the way through the park, and then back to the front, instead of going out, getting the info and hopefully coming back in with an in person guided tour booked. “Exit only” signs were enforced, the staff blocked me with their bodies (!), so I couldn’t go ask. But the staff wasn’t helpful or friendly nor understood our concern, I hate to say it, straight up rude. They smiled at other Vietnamese but wiped the smile off for us. Also, I am not entitled to people speaking languages but even a few signs would have worked. The experience is not really that well thought out for foreigners/ tourists.  Meanwhile, My husband eventually just exited with the gardener, 10 m to the side. The garden is beautiful, and the kind coffee shop staff redeemed the experience, but that’s about it. All of this could have been avoided if people cared about their guests experience (in my personal opinion) and were at least a little flexible or explained the options."
Anthony Munoz,Temple Of Literature,1,Nothing of interest…Best part was the fan on the floor providing some much needed cool air
