Username,Address,Rating,Comment
tutter&magoo,Dragon Bridge,1,"This review is about the Fire and Water show - The dragon bridge itself is beautiful, especially at night. Done my research and best view from google is the dragon ball bar which i will review separately. Went to the bar 2 hours earlier to get a good seat. Great view secured. 9 pm came with great anticipation and at 9:02 we paid our bill as “the show” was over and left. We chatted to others in the masses that were leaving and not one person said it was good, let alone impressive. The marketeers have done a great job with this and the show will definitely be remembered for what it wasn’t. My advice , Rock up with 2 minutes to go on the riverfront and don’t waste two hours to get a good spot and go do one of the many great things in Da nang."
Stewart Moreton,Dragon Bridge,1,Dragon Bridge 'FIRE SHOW' only operates on weekends. If you visit mid week you will only see the Bridge under lighting. Don't be disappointed if like us you fail to thoroughly research every aspect of your trip.
Renc,Dragon Bridge,1,Don't waste time on the fire show as it's just some fire spitting show with no music or lightings to enhance the show and some water sprouting after the fire spitting.
DougP Vlogs,Dragon Bridge,1,"Disappointing.  The Dragon Bridge is beautiful, but it never puts on a fire show.  We waited for a long time, but nothing happened.  Maybe because it was the night of the fireworks show."
Hena A,Dragon Bridge,1,"Dragon just breathes couple of times fire and leaves more black smoke and then throws water and it done. No sound effect, nothing at all....not sure what's there to see?"
Eneko C,Dragon Bridge,1,"We went with expectations not very high and still disappointed. The dragon as such is cool, but up there.The fire and the water that he simply throws, does not deserve to go half an hour early to take place. The changing of the dragon's lights makes them all night and is nothing otherworldly. We looked foolish to see it was just that."
Kylie D,Dragon Bridge,1,"Honestly if you’re short on time give this a miss. We were in the area so we’re there for 2 hrs prior to the show. But at this time people had already started gathering and getting into position. After waiting this long and the amount of people we were expecting something magical. Unfortunately it breathed fire 6 times in 6 minutes and two squirts of water and that was pretty much it. Due to it being a dragon, Fire and Water i believe this is quite important to other cultures that visit so i believe for them this experience was more something that they would rate highly."
George Lee,Dragon Bridge,1,There was no fire and water show at 9pm on weekends. And there was no information on the cancellation of show. Disappointing.
drkanchan21,Dragon Bridge,1,"This particular sight seeing spot was a complete dampner on our trip to Vietnam. The bridge closes for traffic a few minutes before the show begins and is packed with people (including a night market right at the foot of the bridge). The fire the dragon spews becomes a bit monotonous and one can actually feel the soarching heat and smell of kerosene if your close to the dragon head. The chaos begins when the dragon begins to spew water with a solid force and actually drenches all the people standing close to the dragon's head. And in the process there is pandemonium and that's when the petty thieves are having a field day. One of my friends had her phone robbed within a couple of seconds after the water jets were out in full force. While lodging a complaint at the police station we also saw another European lady arrive who not only lost her phone, couple of million vietnamese dong and also her passport. The thief threw the passport away which some good samaritan had handed over to the cops. The passport was soaking wet and completely trampled on. The poor woman was weeping in relief when she saw her passport.It is a complete nightmare..... Please avoid it!"
Jeremy,Dragon Bridge,1,Very crowded. Just 3 times fire and water came out of Dragons mouth. It wasn't much of a spectacle..
ramen101,Dragon Bridge,1,"I was looking forward to seeing the dragon breathe fire from my hotel room on the opposite bank. The riverside was boring, with nothing particularly interesting happening during the day or night. During the day, it was just an ordinary river and bridge. At night, the dragon's colors began to change, and tourist boats gathered near the bridge."
JacktarLancsuk,Dragon Bridge,1,We stayed at the SenRiver Hotel which is situate at the 'tail end' of the Dragon. The Dragon only breathes fire twice on Saturday and Sunday nights at 9.00pm. We were happily chatting away when the first blaze took place. We hadn't realised that it was 9 o'clock ! By the time we had set our camera's the second breathe had already happened and we didn't get a single shot !!A couple of rockets launched just before the event would have alerted us to the time and prepared us. Two 5 second blasts of flame hardly warrant all the hype. Don't bother making a special effort to see it. It's not worth it
soonlawrence,Dragon Bridge,1,"Just a bridge with a dragon shape on the top.  If you are interested, seeing it on the picture is good enough."
docletran,Dragon Bridge,1,very short display of fire & water on the weekend. Not worth your time spending on either on land or on water
ianggrist,Dragon Bridge,1,"The night we went to watch the display, we were left wondering as nothing happened, big crowd for a non event,  don’t know why it was cancelled but it certainly didn’t happen despite us being there early and staying for around one hour after the advertised starting time."
