Username,Address,Rating,Comment
Vaisakhan S,Notre Dame Cathedral of Saigon,5,"Notre-Dame Cathedral Basilica of Saigon, established by French administrators who originally named it the Church of Saigon constructed between 1877 and 1880 is a historic landmark in the heart of Ho Chi Minh city. Great place to take some pictures, chill out with friends. Next to it is the iconic Saigon Central post office, independance palace and a park to rest and a shopping mall. You could easily spend a few hours around this place. As of 2024 and 2025, renovation work is going on hope everything gets completed in 2026 and stands tall with pride. Gets decorated with lights during the Christmas is a spectacle to watch."
James Bui,Notre Dame Cathedral of Saigon,5,"The best time to visit is December when they lit up the Xmas lights. It’s gonna be crowded, and filled with people, street vendors, but it is all worth it when you get to see it at night. They are still doing a long renovation inside so you cannot get in. Probably a few more years."
Nix,Notre Dame Cathedral of Saigon,5,"The Notre Dame Cathedral of Saigon is a masterpiece of French colonial architecture. Even with the ongoing renovation, its timeless charm and grandeur are still very much intact. The vibrant red brick facade, imported from France, remains a striking feature of the city's skyline.
It's a quintessential spot for both locals and tourists to enjoy the peaceful atmosphere right in the heart of District 1. I highly recommend visiting in the evening when the lighting makes the entire structure look absolutely breathtaking. It’s a perfect blend of historical significance and urban beauty."
Yuri,Notre Dame Cathedral of Saigon,5,"Although it was still under renovation as of December 2025, the cathedral looks really striking at night with its outline lighting illuminating the entire structure. You can get a top-down view by heading to Diamond Plaza and taking the escalator or elevator up to the top floor, where there’s an open viewing area. Just a heads-up that it does get pretty crowded with people taking photos, so you’ll have to find a spot and work with it lol."
Long Trinh,Notre Dame Cathedral of Saigon,5,"It was under construction/maintenance so I guess you can not get inside to see the cathedral. This time is about Christmas so they decorated it with full of lights. At night, it is so so beautiful and flashy. I was really enjoyed this astonishing view. However, it was crowded when lots of ppl poured there to get a good angle for their photo. However it was a wonderful experience for me during Christmas time"
MPVAULT,Notre Dame Cathedral of Saigon,5,"The Notre-Dame Cathedral in Saigon (Ho Chi Minh City) was built between 1863 and 1880 by the French. It was intended to serve the Catholic community living there and to show French culture and influence. Many of the bricks, stones, and stained-glass windows were imported directly from France.
With its twin towers and red brick façade, the cathedral quickly became a landmark of the city. Despite wars and political changes, it has remained standing and is still used for church services today.
Today, Notre-Dame Cathedral in Saigon is both a reminder of the colonial past and a lasting symbol within modern Ho Chi Minh City."
Alex Goh,Notre Dame Cathedral of Saigon,5,"Some renovation works going on so it's not that worth it to visit in the day for now (Dec 2025). The night view is vastly different as they put up lights to hide the scaffolding, providing a really nice ambience in time for X'mas!"
Alicia Brant,Notre Dame Cathedral of Saigon,5,We enjoyed visiting the cathedral albeit under construction. The architecture is amazing and it was wonderful seeing the planned reconstruction.
Iraia Roberts,Notre Dame Cathedral of Saigon,5,"An awesomeness acrobatic show highlighting different stages in Vietnam's history, from simple farm and village life, to the hustle and bustle of of modern life in the 21st century. There are no cameras or filming aloud during the show, but this filming ban adds to the experience, which makes viewing the show even better."
Duan Jie Lui,Notre Dame Cathedral of Saigon,5,"Went during the Dec period. Even though it’s covered with scalfolding, the light up Christmas lights was really beautiful! When I was there, the light up was couple of minutes earlier than 6.45pm so need to camp there if you want to record a video of the light up. It was really packed with people at night"
admin Lim,Notre Dame Cathedral of Saigon,5,"When ever I stay Saigon hotel district one I sure manage to see or walk past this nice old church.

Good to take photo nothing much inside mainly close"
Juancho F,Notre Dame Cathedral of Saigon,5,"Beautiful church, surrounded by classic Vietnamese atmosphere. I have great memories of finding this place while walking around Hanoi."
MTC,Notre Dame Cathedral of Saigon,5,It’s a pity that it is currently under renovation. I hope that after completion it will continue to show its beautiful architectural appearance and continue to be one of the cultural landmarks in Ho Chi Minh City.
Andy Cara Vaggio,Notre Dame Cathedral of Saigon,5,"This magnificent symbol of Saigon and of Vietnam as a whole is an extraordinary and truly unique cathedral, built with materials originally produced in Europe. Although it has unfortunately been undergoing restoration for quite a long time, it is clearly visible that the work is progressing steadily and with great care. With every section freed from scaffolding, the cathedral reveals itself as even more beautiful, more refined, and more impressive than before. Particularly admirable is the fact that the materials prepared for the restoration have also been manufactured in Europe, ensuring full authenticity and deep respect for the original architectural vision.
One can only hope that the restoration and conservation works will be completed soon, so that this remarkable landmark can once again shine in its full glory. The cathedral is an incredibly attractive place, not only because of its architecture but also thanks to the wonderful square on which it stands. The square is vibrant and full of life, populated by many young people, charming cafés, restaurants, and an unmistakable atmosphere that blends energy, elegance, and cultural depth.
The cathedral is especially magical around the New Year period, when it is illuminated with hundreds of thousands of lights, creating a truly breathtaking and almost fairy-tale-like scene. The star placed in front of the cathedral, constructed entirely from illuminated elements, is exceptionally original and visually striking. Equally impressive is the fully restored statue of the Madonna and Child standing before the cathedral, which represents an important and integral part of the great artistic heritage of Vietnam’s largest city.
This place is absolutely recommended for every visitor passing through Saigon. And once the restoration is fully completed and the interior becomes accessible again, the experience will be even richer and more profound. Visitors will be able to admire the beautiful works of art preserved inside the cathedral and fully appreciate its spiritual and artistic significance. For Christians in particular, this visit carries an added sense of joy, meaning, and inner peace.
A truly unique place that deserves to be visited without hesitation — not merely as a tourist attraction, but as a living symbol of history, faith, art, and culture, deeply woven into the soul of Saigon."
Aritra Sinha,Notre Dame Cathedral of Saigon,5,Good place but croweded on weekends and holiday.  Be sure to go quick and grab a spot. Lots of street food to try
Mr mallet,Notre Dame Cathedral of Saigon,5,Under construction at the moment but have seen it before definitely worth a visit when opens back up
Aldrin Martins,Notre Dame Cathedral of Saigon,5,The cathedral was under renovation when i visited. But the old architecture still looked beautiful.
Angelle Shaw,Notre Dame Cathedral of Saigon,5,The Notre Dame church is under heavy green nets and scaffolding at yhe moment as its being renovated but in the evening from 6.45pm the lights are turned on and its the most  beautiful sight
T H (Sydney4ever),Notre Dame Cathedral of Saigon,5,"Church is still in progress of renovations.
Attended weekly 5:30 AM mass here. Full choir. Very holy 🙏"
Liam,Notre Dame Cathedral of Saigon,5,"The church is currently being renovated, so don’t your expectations up. From the side you should be able to see a bit of the style, but it’ll take some time before you can witness the impressive front side."
Mix Benito,Notre Dame Cathedral of Saigon,5,"English mass at 930am every sunday, confessions  15 minutes before at the end, screens ready to read and pray, fresh areas, no shorts, skirts, tanks, short dress or uncovered blouses allowed.... Blessings and good day to u. Thanks for reading. Bye"
