Username,Address,Rating,Comment
Pratap B,Hạ Long,1,"This is just an over hyped , money minting business tourism in Vietnam. Nothing special about this place and fully crowded with different cruise ships."
Isabella W,Hạ Long,1,"First of all: the boat, the service, the food, communication with Lucas, the transport was a 11/10 everything was outstanding!The reason why we weren't able to enjoy the trip is that the overtourism and the pollution is so so bad, that we felt so bad being part of the problem. When the ship is moving you'll already see the plastic floating around now and then, but as soon as you anchor for the night all we were able to breathe was the scent of petroleum and we had to close our door as the sound of the motor of the ships was too noisy. The pollution in the water is in such stark contrast to the beauty of the landscape, it is really a crime that such a unique natural place is not better protected.We left feeling disappointed — not because of the staff or the service, which were amazing — but because the environmental situation overshadowed everything else. Ha Long Bay deserves stronger protection and more responsible tourism."
Erik J,Hạ Long,1,"Halong is beautiful, but there are between 75-80 boats on the water looking more or less the same places. The water is dirty with garbage and the shores are floating with plastic"
danberney,Hạ Long,1,"An overtouristed and spoilt gem, completely ruined by greed and exploitation.!We are currently  On a cruise boat moored in a bay being deafened by the extremely loud disco from another boat and unable to sleep. It’s unbearable and nothing to do with nature. Today we stopped at a ghastly overpopulated polluted beach which was load and a nightmare. Vietnam should be ashamed of themselves for making this beautiful place a hell hole."
Vacation05618607231,Hạ Long,1,"Beyond that everything has to be paid for (if you want to drink water during a meal you have to buy and if you bring from home you have to pay a fine for it at the price of the water itself, as well as for any possible drinking), the staff is not nice, unfriendly, on the kayak tour the guide told my friend that she was fat and heavy and that is why she can't get up. Beyond the body description he gave her far from light years of reality he said it in an offensive and bad way. The guide was nervous and after we were three minutes late, he threatened not to let us go on the kayaks. This is my experience so far from the first three hours of cruising (4 stars, 24 hours, one night)The view is beautiful and amazing in its beauty but the experience under any criticism"
Vic G,Hạ Long,1,"Every part of Halong bay we visited inc paddling around islands for hours was full of garbage. On the surface of the water, beaches, rocky out crops and cliffs.Landed up getting skin viruses from paddling in the water.Would never return.Looks better on the computer, Reality garbage, pollution and contaminated water.. Would recommend going somewhere cleaner"
Lucia G,Hạ Long,1,"Let this paradise take a break please. It is crowded with huge amounts of tourists and boats. Water is so dirty that makes your stay so sad to see that incredible place so bad. It would be amazing to control and limit the amount of travelers in that place, and make everyone respect the nature."
Lia Moon,Hạ Long,1,"After visiting Halong Bay, I can honestly say it was one of the biggest travel disappointments of my Vietnam trip. While the limestone scenery is beautiful in photos, the actual experience feels extremely commercialized, overcrowded, and frankly, not worth the money or time.From the moment you arrive, it’s clear that Halong Bay has become a mass tourism machine. Hundreds of boats line up in the same areas, fighting for space. The “quiet” parts they promise on the tours? Filled with noise from other boats, tourists yelling, and diesel fumes. Any sense of peace or natural wonder gets drowned out quickly.The water, which looks stunning in pictures, is actually littered with plastic in many areas – a heartbreaking sight. Activities like kayaking and swimming, which should feel adventurous, end up feeling rushed, cramped, and at times, unsafe due to the sheer number of boats.To make it worse, many of the tours (even the “luxury” ones) are built around upselling you: overpriced drinks, packaged excursions to tacky caves or crowded beaches, and photo ops rather than real experiences. It all feels incredibly staged and soulless.Vietnam has so many other places where you can experience true beauty, authenticity, and peace – without the crowds, scams, and disappointment. Places like Ninh Binh (the “Halong Bay on land”), Phong Nha, or even the less-visited parts of the central coast offer stunning nature without feeling like a factory.Bottom line: Halong Bay might be a UNESCO World Heritage Site, but today it’s mostly a tourist trap. Save yourself the hassle – your time and money are much better spent elsewhere in Vietnam."
Helen R,Hạ Long,1,"Ha Long Bay I'm sure was once a paradise, but now full of raw sewage from the 500+ cruise ships that reside there for tourists.  You can clearly see the sewage, you have to kayak through it and swim in it.  Might explain why we heard people vomiting from our room overnight.  Rooms tired, food average.  We expected rubbish but not the sewage issue, was disgusting, the Unesco site ruined by disrespectful tourism.  We left feeling sad."
Béa Jc G,Hạ Long,1,"And each time, die a little...Poor halong berry, suffocated by mass tourism and so guilty of helping to stifle it even further.The site is undeniably remarkable but the view is spoiled by hundreds of boats.And as if that were not enough, the bay was hit by Typhoon Yagi in 2024, leaving behind large amounts of garbage that still floats today all over the bay, what a desolation ...The emerald water that made it famous has turned to a brownish hue, a sad observation that alters the splendor of the place.It would be urgent to limit access to it to preserve its magic, What is UNESCO waiting for to do??As for the city of Halong, it resembles a ghost city, a succession of empty buildings stretching as far as the eye can see. You'd think you were on the set of The Walking Dead.I couldn’t wait to see this heavenly bay... and I leave with a heavy heart, saddened to have discovered it in this state."
