Username,Address,Rating,Comment
Neil S,Japanese Bridge,1,Japanese bridge being renovated Very disappointing - the bridge was still undergoing renovations which were supposed to have been finished. Not much to see.
Larry M,Japanese Bridge,1,"Was looking forward for the obligatory photo of this ancient bridge, surprised to turn the corner and see that it’s under renovation and would be for years. Nothing to see as you can pass through, don’t waste your time or expectations."
Mokisen,Japanese Bridge,1,The bridge is under renovations and is covered by a big shed. You can go up close to see the construction but there is nothing much. Definitely not photo worthy. Would suggest to visit only after all the renovations are done.
Ms.,Japanese Bridge,1,It’s fully covered 🥺 … as in under construction. There’s an opening that one can peak what was the Japanese covered bridge.
DarrenandSandy,Japanese Bridge,1,Completely covered up within a tin shed and under reconstruction. Nothing to see except some explanation posters and a lot of workmen.
Angeles Echevarria,Japanese Bridge,1,"It was the symbol of the city, with the Chinese neighborhood on one side and the Japanese neighborhood on the other. It's a shame that it's going to take a while to fix it because it's destroyed."
20Nomad17,Japanese Bridge,1,"It’s a construction site, very little of the bridge can be seen and yet tickets are still Required. It’s a waste of time and money so avoid"
Laurent G,Japanese Bridge,1,"Bridge under construction I confirm, the bridge is completely under construction and I think it will last for several more years. Also avoid visiting the city during Chinese New Year as all the sites to visit are closed."
Compass14836909144,Japanese Bridge,1,"This bridge is under construction, it is completely dismantled, and cannot be visited. Instead, you will find scaffolding and barriers."
Megan M,Japanese Bridge,1,I have visited Hoi An and the covered bridge many times over the years. This was the worst I have seen it. It was undergoing much needed restoration - this was not the problem. The hoards of tourists swarming around and over it were. It was just symbolic of Hoi An being loved to death and Old Town being choked by too many people. I realise that there is some irony here - as I too am one of them - but it is sad to see little official control of the numbers of tourists who make the streets impassable and have ruined the atmosphere.
fredericgaudy,Japanese Bridge,1,"Unfortunately the Japanese bridge is under construction, no one had told us about it and we were a little disappointed… fortunately the rest of this city is truly incredible with a unique atmosphere. And these lanterns are splendid!"
ElaineLimTC,Japanese Bridge,1,"Please don't go there until you know for sure it has finished refurbishing/renovating/preserving this bridge. Like most things, if you don't care to maintain them, they will fall in disrepair."
Roger W,Japanese Bridge,1,"Unfortunately, a visit to the Japanese bridge is currently out of the question. The bridge is being completely renovated and there is nothing to see at the moment. Because of the construction site, I have the feeling that this is a long-term project and that it will take years before the bridge can be seen in its full glory again."
TeggieG,Japanese Bridge,1,Bridge being re-built The bridge in being re-constructed and is entirely enclosed with metal sheeting. You can see the damaged remains of the bridge.
Jody P,Japanese Bridge,1,"Don't pay to see Rubble What Bridge lol. We went to see it , we were told we had to.pay to see it. So we paid money to look at a pile of rubble. Don't waste your time or money. Unless it gets restored, at this moment it is latterly rubble."
Paul,Japanese Bridge,1,We visited HOI an Sep 23 and Japanese bridge been demolished and is under repair so will take a while to be rebuilt. Did not spoil our visit as still plenty to see and did see the Japanese bridge on prior visit.
travelpiggy,Japanese Bridge,1,"Bridge covered under construction as of 6/1/23 As of 6/1/23, the Japanese Bridge was covered under construction (see photos). I went to Hoi An to get a photo of the Japanese Bridge and was disappointed. Just FYI. Check to see if the construction is completed before going."
Anand1351,Japanese Bridge,1,"Everyone goes there just for sake of going as it’s supposed to be a landmark. Nothing here just an ordinary old crappy bridge which is always super crowded. Absolute waste of time, markets surrounding it are worth exploring though"
austraveller62,Japanese Bridge,1,"Just a covered bridge After reading all the hype on the Japanese covered bridge it was a disappointment. It’s nothing but an old bridge. Yes it was historical but it was about 10 metres across and that was it. Looked better from the outside to get photos than the inside. If you go at the wrong time of the day they have it guarded and you will need a ticket to cross. We had to buy a ticket to even enter the old town which cost about $6, not of a lot of money but we had been told that we would only need a ticket if we wanted to go to certain buildings or the old Japanese bridge. Not sure what goes on but it is Vietnam and just go with it."
627Donna,Japanese Bridge,1,"The canal reeks and has garbage floating in it, which doesn't make the already lacking aesthetics of the bridge any more pleasing."
Danceswithroseoz,Japanese Bridge,1,Nothing impressive here The bridge looks better in photos than real life. Dirty water and they charge you to walk across it (about 30 steps and it's done). There's a bridge further towards the river you can walk over for free.
andremoellerHH,Japanese Bridge,1,"mmmh sorry, it’s just a old bridge and not more. You need a ticket, which coast you $5,00 to use the bridge and enter the old town. The Problem, behind the bridge you only will see a lot of shops, which you also find outside. On the bridge you see, by feeling, 1000 people who need to make photos. Price is definitely to high"
Jess,Japanese Bridge,1,"Smelly tiny bridge that isn’t that big of a deal. Costs $120,000 dong to cross it during the day one way but is free at night."
ella T,Japanese Bridge,1,Small bridge and very crowded Don’t understand why everyone recommend and what they were talking about
Julia H,Japanese Bridge,1,Too crowded. can’t walk. Smelly. Too touristy for our taste. Obnoxious. beautiful at night but definitely geared towards tourist. Watch your bags
Dominik Hörner,Japanese Bridge,1,"We wandered around old Town and just wanted to check out the bridge, which isn't that impressive to begin with, and then we saw that they charged for it. That is absolutely ridiculous, it's such a small bridge and yeah, Japanese made blah whatever, but seriously!? We just turned back and didn't care anymore. We got used to pay for almost anything here in Vietnam, which is annoying already, but that just topped everything."
AllenOrmskirk,Japanese Bridge,1,They expect you to pay to cross an old covered wooden bridge what should be right of way between two public roads. Nothing to see of note inside. Save your money and take your selfies using it as a backdrop.
Andy H,Japanese Bridge,1,We had more enjoyment looking at it from another position. You can cross this water in several places. Crossing the bridge at night was better as fewer tourists we found.
Winston T,Japanese Bridge,1,It's just a bridge. An old bridge. No need to pay just to cross that bridge. Quite old and very ordinary looking.
