review_id,Username,Address,Rating,Language,ID_clause,Clause
34501,Hà Nguyễn,Lake of the Restored Sword,4,vi,34501.a,The lake is as green as paint.
7678,Stanley Noel,Cat Ba Island,4,en,7678.d,but the 12km hike (there and back) was well worth the adventure.
22893,Marine Marques,Hoa Lo Prison,5,en,22893.b,It was quite crowded
33263,MrPhyl,Japanese Bridge,1,en,33263.e,but they actually physically blocked us from LEAVING once we realised they wanted us to pay.
4538,JEK W,Ben Thanh Market,2,it,4538.b,"Example rice sheets for roll in the market 80000, in a normal shop 20000."
18514,Daniel Ambach,Fairy Stream,2,en,18514.d,"Here you will realize that the dirty, used water of the inhabitants is directly flushed into the river!"
7201,sonp742,Cat Ba Island,5,en,7201.f,Foods on the cruise were totally fabulous with an asian fusion style which could be fitted to either westerners or asians.
18199,Ondřej Vocilka,Fairy Stream,3,en,18199.a,Bit dirty and not so entertaining
63585,Валерия Зиновьева,VinWonders Phu Quoc,5,ru,63585.d,"A buffet with a Swedish table we paid for, 350,000 extra, was good, various kinds of meat and seafood."
39615,Nadya K,Notre Dame Cathedral of Saigon,5,en,39615.a,"A beautiful colonial architectural building, every brick of which is imported :) The cathedral was undergoing restoration."
31496,tubbies74,Japanese Bridge,5,en,31496.c,but this very much adds too the character of its design.
25983,Mr NHD,Hoi An Ancient Town,5,en,25983.f,"There is Bai Choi folk song, a cultural feature of the Central region."
60176,Tuấn Đặng,The Marble Mountains,1,vi,60176.a,"You know, money, toilets stink, like in the '80s, parking lots slow, security guards do what they want, tour cities do what they want."
7910,Rob L,Cat Ba Island,3,en,7910.a,This was suppose to be a highlight of our trip
51120,Janine C,Saigon Central Post Office,1,en,51120.a,"Just another building, lot of people, and always people trying to sell you something."
62598,Mandorallen,VinWonders Nha Trang,2,en,62598.k,however at nearly $50 per person you would expect to get some better value.On the higher levels there are plenty of food/drink stops and
21532,Richard T,Ho Chi Minh's Mausoleum,3,en,21532.a,"Very popular with Vietnamese obviously, so arrive early to avoid queues."
61469,Odyssey27388918875,VinWonders Nha Trang,5,vi,61469.e,"I'm very impressed by the way I work, and I'm very committed to my staff's professional team, and the network of information connections and security maintenance here has to say that it's extremely tight, so visitors who come here can be very comfortable if there's some unexpected circumstances."
7696,Severine & Lukasz,Cat Ba Island,4,en,7696.c,"There are some caves, a little national park, a cannon fort and a good beach."
59575,AMR,The Marble Mountains,3,en,59575.l,but dont rate as a must.
43879,Celine_2327,Old Quarter,4,en,43879.b,"I have the impression of Bun Cha, the egg cafe"
14265,Tolga,Cat Cat Village,1,en,14265.a,Tourist trap. Stay away. Extremely overcrowded.
40807,codydonnoneal,Notre Dame Cathedral of Saigon,4,en,40807.f,but I’m kind of partial I just really love old churches.
25042,a-travelin-foodie,Hoa Lo Prison,2,en,25042.f,"So, clearly there were many more years of that issue, and I understand the need to cover that."
62610,Bailey12856,VinWonders Nha Trang,2,en,62610.k,I did notice a lot of construction on going so maybe there's a lot more to come from Vinpearl
36422,carera38,My Son,3,ja,36422.c,It's about 10 minutes faster than you thought.
12431,735SSSS,Cu Chi Tunnel,1,es,12431.f,That's why it seems to me that tunnel was just a gross recreation
14744,Lavinia,Dragon Bridge,5,en,14744.b,"It feels mysterious, as if there really is a dragon here."
59223,Ellen M,The Marble Mountains,4,en,59223.b,Lots of architecture like pagodas to see on the mountain and the big cavern was worth a visit.
2008,Steve Carroll,Ba Na Hills,5,en,2008.j,Our ticket included an Indian lunch.
44708,Sehaj Singh Kukreja,Old Quarter,2,en,44708.c,My friends and I got an airbnb here
46246,Dipesh G,Po Nagar Cham Towers,5,en,46246.a,Me and my friends had visited this holy Buddhist temple.This is very old temple.
30717,sitkad,Ha Long Bay,2,en,30717.a,Halong Bay itself is very beautiful.
19902,MLSL Leuwol,Golden Bridge,3,en,19902.g,The ride up took longer than walking the Golden Bridge.
20448,Hải Kim,Ho Chi Minh's Mausoleum,5,en,20448.e,"Surrounding space Ba Dinh Square is large and airy, where many important events take place."
41750,Thiraya I,Notre Dame Cathedral of Saigon,3,en,41750.c,"Only the exterior is accessible, and there isn't much space to view."
54185,Hilary B,Temple Of Literature,4,en,54185.a,We were surprised by the calmness of this place.
2174,cris_clark2000,Ba Na Hills,5,en,2174.e,Lots of food and drink options (we opted out of the buffet on our tour
25967,Carla,Hoi An Ancient Town,5,en,25967.b,"It is friendly, walkable and so much to do."
52614,Nina P,Tam Coc-Bich Dong,2,nl,52614.d,but it was a traffic jam.
28306,HT Harry (Harris),Hue Imperial City,4,vi,28306.c,"The king, with so many privileges, created so great a distance for ordinary people, used to live in luxury, wasted his resources and corruption from these regimes, it's still affecting today."
16218,TimMiura,Dragon Bridge,3,en,16218.c,It's a beautiful bridge and can be seen from far away.
42568,Salvo Z,Notre Dame Cathedral of Saigon,2,en,42568.d,It's a shame because it's located right in the city center and doesn't look good in the urban context.
